Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2017-11-01,37669.86878046,37860.090719019,37359.90057238,37619.974501493,675299.86799942
2017-11-02,37700.117187083,37990.127683576,37400.127834797,37769.969177636,728898.95902539
2017-11-06,38300.095891655,38789.995343257,38140.122359719,38600.085243941,864799.7504679
2017-11-07,38620.042955528,39999.931608195,38419.842161175,39910.121906055,1230599.765581
2017-11-08,39670.005688529,39910.121906055,39460.137877626,39679.984544322,721398.94083189
2017-11-09,39889.852355225,41199.889017339,38979.905442574,39859.915787845,1872299.9497143
2017-11-10,39699.942255909,40660.09528677,39529.989868179,40650.116430977,1633300.5243893
2017-11-13,40309.899816274,40350.127078691,39409.931759416,39409.931759416,908600.52372825
2017-11-14,39129.900118717,39800.042653085,39050.06927237,39190.08509272,768400.40169226
2017-11-15,38959.947730987,39490.074445006,38799.974199051,38930.011163607,1055300.4691251
2017-11-16,38890.095740434,39879.873499432,38819.931910637,39790.063797292,869299.50484156
2017-11-17,40650.116430977,41120.058170993,39900.143050262,40279.963248894,1389098.4184087
2017-11-20,40190.153546755,40619.868024354,39910.121906055,40190.153546755,476200.80883332
2017-11-21,40599.910312767,40920.169215883,40309.899816274,40390.042501864,616698.52009812
2017-11-22,40859.98424188,41090.121603613,40550.016033801,40619.868024354,725999.06743467
2017-11-24,40230.068969928,40780.153395534,40159.905140131,40729.947277323,427198.63762965
2017-11-27,41079.830908576,41499.878369625,40769.862700497,41189.910161546,602099.3312715
2017-11-28,41189.910161546,41659.851901562,41079.830908576,41649.873045768,905700.63213753
2017-11-29,42000.068516264,42329.99443593,41670.142596598,42300.05786855,806999.13565319
2017-11-30,42499.94682366,43539.930700868,42389.86757069,43509.994133488,1034000.7124794
2017-12-01,43949.999306124,44119.951693853,43269.877915962,43659.988809631,876600.38196706
2017-12-04,43659.988809631,44169.84597282,43419.872592105,44139.90940544,650500.23113462
2017-12-05,44999.962039125,45469.90377914,44159.867117026,44429.919901933,973199.83384483
2017-12-06,43819.962341567,43859.87776474,42130.105480821,42270.12130117,1490600.0756107
2017-12-07,42730.084185393,43419.872592105,42639.96264401,43269.877915962,876900.85729831
2017-12-08,43709.883088597,44739.888110012,43500.015277695,44670.036119459,1609601.4545862
2017-12-11,44800.073084015,44999.962039125,44409.962190346,44630.120696286,562800.8778092
2017-12-12,44630.120696286,44770.136516635,44320.152488206,44340.110199793,511199.29034606
2017-12-13,44480.126020143,44719.930398425,44080.03627068,44340.110199793,531101.21137926
2017-12-14,44099.993982267,44399.983334553,43979.935873503,44050.0997033,393499.5435686
2017-12-15,43920.062738744,45080.104724715,43839.920053154,44599.872289662,646899.97868643
2017-12-18,45100.062436301,45210.141689271,44680.014975252,44950.067760158,537399.6489258
